linked,link,url,name
x,AbeytaTrujillo,http://meas.ose.state.nm.us/site.jsp?id=118&status=Y&type=S&dist=6&basin=Lower Chama,AbeytaTrujillo
,AboveOutfall,http://meas.ose.state.nm.us/site.jsp?id=145&status=Y&type=S&dist=2&basin=Pipeline Discharge,AboveOutfall
,Agapito,http://meas.ose.state.nm.us/site.jsp?id=252&status=Y&type=S&dist=6&basin=Gallinas,Agapito
x,Ancheta-Galaz,http://meas.ose.state.nm.us/site.jsp?id=191&status=Y&type=S&dist=3&basin=Mimbres Basin,Ancheta-Galaz
x,AncondeJacona,http://meas.ose.state.nm.us/site.jsp?id=1&status=Y&type=S&dist=6&basin=NPT,AncondeJacona
x,ArsenioSanchez,http://meas.ose.state.nm.us/site.jsp?id=150&status=Y&type=S&dist=2&basin=Fort Sumner,ArsenioSanchez
x,AVIDBubbler,http://meas.ose.state.nm.us/site.jsp?id=164&status=Y&type=S&dist=7&basin=Cimarron River,AVIDBubbler
x,Aztec,http://meas.ose.state.nm.us/site.jsp?id=64&status=Y&type=S&dist=5&basin=Animas River,Aztec
x,Baca,http://meas.ose.state.nm.us/site.jsp?id=200&status=Y&type=S&dist=3&basin=Mimbres Basin,Baca
,Barranco,http://meas.ose.state.nm.us/site.jsp?id=2&status=Y&type=S&dist=6&basin=NPT,Barranco
x,BarrancoAlto,http://meas.ose.state.nm.us/site.jsp?id=3&status=Y&type=S&dist=6&basin=NPT,BarrancoAlto
,BarrancoBlanco,http://meas.ose.state.nm.us/site.jsp?id=146&status=Y&type=S&dist=6&basin=NPT,BarrancoBlanco
,BarrancoDitch,http://meas.ose.state.nm.us/site.jsp?id=211&status=Y&type=S&dist=6&basin=Upper Chama,BarrancoDitch
,BauerSpringsDitch,http://meas.ose.state.nm.us/site.jsp?id=222&status=Y&type=S&dist=6&basin=NPT,BauerSpringsDitch
x,BearCanyonReservoir,http://meas.ose.state.nm.us/site.jsp?id=67&status=Y&type=S&dist=3&basin=Mimbres Basin,BearCanyonReservoir
x,BlueSpringsRanch,http://meas.ose.state.nm.us/site.jsp?id=162&status=Y&type=S&dist=2&basin=Carlsbad,BlueSpringsRanch
x,BRCanal,http://meas.ose.state.nm.us/site.jsp?id=161&status=Y&type=S&dist=2&basin=Carlsbad,BRCanal
x,BRCBypass,http://meas.ose.state.nm.us/site.jsp?id=160&status=Y&type=S&dist=2&basin=Carlsbad,BRCBypass
x,BRSupply,http://meas.ose.state.nm.us/site.jsp?id=159&status=Y&type=S&dist=2&basin=Carlsbad,BRSupply
x,CajonGrande,http://meas.ose.state.nm.us/site.jsp?id=4&status=Y&type=S&dist=6&basin=NPT,CajonGrande
x,Cano,http://meas.ose.state.nm.us/site.jsp?id=5&status=Y&type=S&dist=6&basin=NPT,Cano
,CanonesCreek#1,http://meas.ose.state.nm.us/site.jsp?id=217&status=Y&type=S&dist=6&basin=Upper Chama,CanonesCreek#1
x,CecilPollard,http://meas.ose.state.nm.us/site.jsp?id=155&status=Y&type=S&dist=2&basin=Roswell,CecilPollard
